RNA	Degree	Degree Rank
FOXC1	595.0	1
IL2RG	396.0	2
TBX21	389.0	3
SNX20	389.0	4
RGMA	389.0	5
PTPN7	380.0	6
SIT1	369.0	7
STAC	363.0	8
SLAMF6	355.0	9
BTLA	321.0	10
SLAMF1	320.0	11
SLA2	313.0	12
SP140	313.0	13
IL12RB1	311.0	14
PRF1	306.0	15
NCR3	306.0	16
CD247	305.0	17
ICAM3	303.0	18
AC243960.1	301.0	19
FOXA1	294.0	20
ROPN1	292.0	21
C16orf54	288.0	22
SIRPG	286.0	23
BCL11A	282.0	24
CD3D	282.0	25
PRR15	257.0	26
TRBV28	257.0	27
LY9	254.0	28
S1PR4	252.0	29
NKG7	250.0	30
LINC02188	247.0	31
CD6	246.0	32
UBASH3A	246.0	33
CD3E	246.0	34
TRG-AS1	245.0	35
PYHIN1	244.0	36
CD5	244.0	37
SH2D1A	244.0	38
MLPH	235.0	39
PRKCB	234.0	40
LINC00426	233.0	41
MID1	231.0	42
TIFAB	230.0	43
SRSF12	223.0	44
CD27	215.0	45
TRBV20-1	210.0	46
ZAP70	208.0	47
FCRL3	208.0	48
CD2	206.0	49
TIGIT	204.0	50
GZMB	202.0	51
CCR7	201.0	52
SNHG26	200.0	53
LTA	200.0	54
TRBC1	199.0	55
CD19	199.0	56
ITK	198.0	57
CD96	196.0	58
GZMA	194.0	59
LINC01215	185.0	60
ZNF831	179.0	61
CXCR3	179.0	62
DOK2	178.0	63
TRBC2	175.0	64
HAPLN3	174.0	65
GFI1	173.0	66
TNFRSF8	171.0	67
CD3G	171.0	68
SFRP1	167.0	69
TAF5LP1	166.0	70
ST8SIA1	165.0	71
CRTAM	162.0	72
CTLA4	160.0	73
JAML	157.0	74
TRAT1	155.0	75
ICOS	155.0	76
PDCD1	154.0	77
ESR1	150.0	78
GPR171	150.0	79
CST7	149.0	80
EGFR	146.0	81
CCL5	146.0	82
LINC00861	142.0	83
CD52	141.0	84
PSTPIP1	141.0	85
PLA2G2D	140.0	86
TRBV5-1	140.0	87
L3MBTL4	139.0	88
EOMES	139.0	89
CD7	133.0	90
TRBV19	128.0	91
AIM2	127.0	92
SAMD3	125.0	93
TCL1A	123.0	94
FCRLA	121.0	95
FOXCUT	118.0	96
TESPA1	117.0	97
B3GNT5	113.0	98
POLR2F	113.0	99
SCML4	113.0	100
CCR5	112.0	101
CXCR6	108.0	102
TRBV7-9	108.0	103
TTC24	107.0	104
CD38	107.0	105
TRBV18	105.0	106
AC007255.1	103.0	107
STAT4	101.0	108
TRAV12-3	101.0	109
PARP15	101.0	110
IRF4	100.0	111
AC004585.1	98.0	112
ROCR	97.0	113
TTC6	96.0	114
ROPN1B	96.0	115
CD40LG	95.0	116
NCF1	95.0	117
IL18RAP	94.0	118
TRBV2	94.0	119
FUT7	93.0	120
MPP6	91.0	121
GZMK	90.0	122
GBP5	89.0	123
SELL	89.0	124
TRAV8-6	87.0	125
TNFSF14	87.0	126
TRBV29-1	85.0	127
TRBV3-1	84.0	128
TRAV9-2	84.0	129
TRBV5-4	83.0	130
TRBV6-5	82.0	131
TRAV13-1	81.0	132
CNR2	80.0	133
TRAV8-2	79.0	134
TRBV6-1	79.0	135
SPIB	79.0	136
SLAMF7	79.0	137
TRBV6-6	79.0	138
LINC00504	78.0	139
TRAV8-3	78.0	140
TBC1D10C	76.0	141
MIR155HG	74.0	142
TRAV41	74.0	143
SOX9-AS1	74.0	144
TRAV4	73.0	145
HLA-DOB	73.0	146
PTX3	72.0	147
LINC01281	72.0	148
TRAV2	70.0	149
PLAC8	69.0	150
ZBED2	68.0	151
TTYH1	67.0	152
MS4A1	67.0	153
C11orf21	67.0	154
IL21R	66.0	155
TRAV12-2	65.0	156
LINC02273	65.0	157
PSAT1	64.0	158
ITPRIPL1	64.0	159
TRAV21	64.0	160
CXCR5	64.0	161
TRBV10-3	64.0	162
PRKCQ	63.0	163
CD8A	62.0	164
TRBV5-6	62.0	165
TRAV26-1	61.0	166
TRAV8-4	60.0	167
PPP1R16B	60.0	168
S100B	60.0	169
TRAV16	59.0	170
TRBV12-4	59.0	171
AL096816.1	58.0	172
TRABD2A	57.0	173
LINC00402	57.0	174
TRAV17	57.0	175
AGR3	56.0	176
CD79A	56.0	177
LINC00996	55.0	178
ITGB7	54.0	179
LINC00092	53.0	180
FTH1P22	53.0	181
AL590764.1	53.0	182
CD244	52.0	183
TRBV11-2	49.0	184
TREML2	49.0	185
FCRL2	49.0	186
NCF1B	49.0	187
PRDM8	49.0	188
LINC00528	48.0	189
GZMM	47.0	190
LTB	47.0	191
GIMAP5	46.0	192
SLC44A4	44.0	193
TRBV9	43.0	194
IL2RB	42.0	195
TRAV3	41.0	196
PRKCQ-AS1	40.0	197
CHODL	39.0	198
TRAV12-1	39.0	199
CD28	39.0	200
TRBV12-3	38.0	201
CRYAB	38.0	202
TRAV27	38.0	203
PLA2G4A	38.0	204
EPHB1	36.0	205
CXCL9	36.0	206
CA12	35.0	207
ARHGEF4	35.0	208
LINC02202	35.0	209
SLAMF8	34.0	210
THEMIS	33.0	211
VGLL1	32.0	212
IL12B	32.0	213
C5AR2	31.0	214
KLRB1	31.0	215
FASLG	31.0	216
TRAV36DV7	31.0	217
CASC8	31.0	218
DMD	31.0	219
LEMD1	30.0	220
TRBV4-2	30.0	221
LAX1	28.0	222
AL365361.1	28.0	223
CD79B	28.0	224
KCNJ11	27.0	225
GRAP2	27.0	226
IKZF3	27.0	227
BANK1	27.0	228
FCRL1	27.0	229
CD226	26.0	230
SLFN12L	26.0	231
C10orf90	26.0	232
MEI1	26.0	233
MIA	26.0	234
SSTR3	26.0	235
ADAMTS9-AS2	25.0	236
LINC02084	25.0	237
NIBAN3	25.0	238
LINC02446	25.0	239
OCA2	25.0	240
NUGGC	24.0	241
IFNG	24.0	242
LINC00892	24.0	243
AC134043.3	24.0	244
CTSW	24.0	245
PNOC	23.0	246
TRAV14DV4	23.0	247
AGR2	22.0	248
UGT8	22.0	249
TRBV7-6	22.0	250
TRBV27	22.0	251
TRAV20	22.0	252
LINC01857	22.0	253
LINC00393	21.0	254
GVINP1	21.0	255
LINC01781	21.0	256
GPR18	21.0	257
TRBJ2-7	21.0	258
TRAV22	21.0	259
AL031846.1	21.0	260
PAX5	20.0	261
LINC02487	20.0	262
TMIGD2	20.0	263
PDE2A	19.0	264
GPM6B	19.0	265
XCL2	19.0	266
RASGEF1C	19.0	267
CCR2	19.0	268
KLHL29	18.0	269
IL2RA	18.0	270
TRAV6	18.0	271
TRAV23DV6	18.0	272
TRAV25	18.0	273
SLC6A2	17.0	274
DEGS2	17.0	275
IL7R	17.0	276
TRAV5	17.0	277
TRAV10	17.0	278
FHL1	17.0	279
LINC01354	17.0	280
AC015911.3	17.0	281
LINC02613	17.0	282
CARMN	16.0	283
CLEC10A	16.0	284
OR2I1P	16.0	285
NPR1	16.0	286
ABCD2	15.0	287
FAM30A	15.0	288
THSD4	15.0	289
IDO1	15.0	290
TRBV24-1	14.0	291
LINC01934	14.0	292
CNKSR2	14.0	293
GABRP	14.0	294
LAMP3	14.0	295
CFAP99	13.0	296
CORO2B	13.0	297
KIRREL3-AS1	13.0	298
TRBV4-1	13.0	299
STAP1	13.0	300
TNFRSF9	13.0	301
CCR4	13.0	302
GATA3-AS1	13.0	303
NKAPL	13.0	304
AC107959.1	13.0	305
TCEAL7	12.0	306
PCARE	12.0	307
LINC01537	12.0	308
FOXP3	12.0	309
TNFRSF13B	12.0	310
FSIP1	11.0	311
TSLP	11.0	312
C8orf88	11.0	313
STX11	11.0	314
TRPM6	11.0	315
APOBEC3H	11.0	316
ZNF80	11.0	317
TRBJ2-1	11.0	318
AOC3	11.0	319
CT62	11.0	320
NDUFB4P11	11.0	321
ITM2A	11.0	322
CD8B	10.0	323
SRPX	10.0	324
B3GALT1	10.0	325
POU2AF1	10.0	326
TRBV14	10.0	327
NCF1C	10.0	328
IL21	10.0	329
XCR1	10.0	330
AC097713.1	10.0	331
TBC1D27P	10.0	332
TSHZ2	9.0	333
DNALI1	9.0	334
TMEM71	9.0	335
CAVIN2	9.0	336
LINC02237	9.0	337
CLNK	9.0	338
DRAIC	9.0	339
ADGRD2	9.0	340
LINC02422	9.0	341
VEGFD	9.0	342
LINC02884	9.0	343
AC093535.2	9.0	344
CYCSP30	9.0	345
LRRC46	8.0	346
ECRG4	8.0	347
ID4	8.0	348
CPA1	8.0	349
CD300LG	8.0	350
AC006369.1	8.0	351
TRAV13-2	8.0	352
LRRN4CL	8.0	353
MAP1LC3C	8.0	354
LINC02384	8.0	355
SYNM	8.0	356
CCDC170	8.0	357
TFF3	8.0	358
ART3	8.0	359
ITIH5	8.0	360
HSD11B1	7.0	361
FCER2	7.0	362
AL161668.4	7.0	363
TRAV35	7.0	364
TRAV8-1	7.0	365
TRAV19	7.0	366
TRDV1	7.0	367
AC004847.1	7.0	368
CNTNAP3	7.0	369
NRG2	7.0	370
PTH1R	7.0	371
CLEC4C	7.0	372
PAK5	7.0	373
SCARA5	7.0	374
GPR174	7.0	375
KCNA3	7.0	376
AR	7.0	377
LINC01198	7.0	378
PAMR1	7.0	379
ZMYND10	6.0	380
CALHM6	6.0	381
TRBV15	6.0	382
ARHGAP20	6.0	383
PPP1R14C	6.0	384
CLDN19	6.0	385
ERBB4	6.0	386
RARRES1	6.0	387
AC129908.1	6.0	388
FCRL5	6.0	389
HSD17B13	6.0	390
PDE9A	6.0	391
SOX8	6.0	392
EPHB6	6.0	393
DNASE1L3	6.0	394
HSPB6	6.0	395
LINC02258	6.0	396
IGF2BP2	5.0	397
HPSE2	5.0	398
AC015712.4	5.0	399
SCN4B	5.0	400
TRBV5-5	5.0	401
TRAV24	5.0	402
TRBV21-1	5.0	403
TRBV13	5.0	404
GALNT15	5.0	405
XPNPEP2	5.0	406
GRIA4	5.0	407
SAMD5	5.0	408
P2RY10	5.0	409
AC009133.3	5.0	410
SIDT1	5.0	411
FZD9	5.0	412
LGALS2	5.0	413
SLC17A7	5.0	414
PTPRN2	5.0	415
AQP7P1	4.0	416
ADH1A	4.0	417
ALDH1L1-AS2	4.0	418
FP325317.1	4.0	419
AC005682.1	4.0	420
CCL19	4.0	421
ADAMTS5	4.0	422
TRAV38-1	4.0	423
SH2D2A	4.0	424
ITGA7	4.0	425
MYOC	4.0	426
MYOM1	4.0	427
PRSS33	4.0	428
SNORD114-20	4.0	429
AC079598.4	4.0	430
AC090386.2	4.0	431
GZMH	4.0	432
CA4	4.0	433
ASB2	4.0	434
ALDH1A2	4.0	435
ABCA8	4.0	436
ABCA9	4.0	437
TCEAL5	3.0	438
IPCEF1	3.0	439
VPREB3	3.0	440
BMX	3.0	441
TNXB	3.0	442
CCL14	3.0	443
TRBV7-4	3.0	444
TRAV1-2	3.0	445
NKX1-2	3.0	446
ZNF454	3.0	447
C2orf88	3.0	448
EMX2OS	3.0	449
BLACAT1	3.0	450
CACNA2D2	3.0	451
HCST	3.0	452
TOX	3.0	453
OVCH2	3.0	454
RIPOR2	3.0	455
TRGV10	3.0	456
IL12RB2	3.0	457
LINC02587	3.0	458
AC087482.1	3.0	459
AC103760.1	3.0	460
DNAJC12	3.0	461
CEROX1	3.0	462
HNRNPA1P70	3.0	463
FCRL6	3.0	464
ANGPT4	3.0	465
LYVE1	3.0	466
MAMDC2	3.0	467
SLC22A3	3.0	468
LRRC2	3.0	469
ATOH8	3.0	470
BCL2A1	3.0	471
ADAM33	3.0	472
MAB21L1	3.0	473
HEPACAM	3.0	474
TMEM132C	3.0	475
CD200R1	2.0	476
MYH11	2.0	477
ABCA10	2.0	478
LVRN	2.0	479
TRHDE-AS1	2.0	480
SVEP1	2.0	481
LINC02812	2.0	482
LINC02872	2.0	483
RNASE7	2.0	484
SLC7A3	2.0	485
AL160412.1	2.0	486
AFF3	2.0	487
AC092667.1	2.0	488
AC136621.1	2.0	489
TRBV30	2.0	490
ABCF2P2	2.0	491
AC023136.1	2.0	492
AC233702.8	2.0	493
HOXA4	2.0	494
MEF2C-AS1	2.0	495
PDE6G	2.0	496
MYB	2.0	497
AP003774.2	2.0	498
ZNF667-AS1	2.0	499
ZNF667	2.0	500
WIF1	2.0	501
PGM5-AS1	2.0	502
FREM1	2.0	503
AC008514.1	2.0	504
MRGPRF	2.0	505
AP003071.4	2.0	506
CHRDL1	2.0	507
GPR12	2.0	508
GNLY	2.0	509
ACTA2-AS1	2.0	510
AC068057.1	2.0	511
AC044810.2	2.0	512
PNMA8C	2.0	513
GPR146	2.0	514
AQP7	2.0	515
BTNL9	2.0	516
CCDC178	2.0	517
GPIHBP1	2.0	518
PGM5P3-AS1	2.0	519
CRHBP	2.0	520
TNIP3	2.0	521
MIA-RAB4B	2.0	522
SCN2B	2.0	523
CA6	2.0	524
AC245884.9	2.0	525
LINC01945	2.0	526
C9orf116	1.0	527
PRSS21	1.0	528
CLDN11	1.0	529
SHISA9	1.0	530
U91319.1	1.0	531
CR1	1.0	532
VIM-AS1	1.0	533
MT1L	1.0	534
OR2S1P	1.0	535
GIPC2	1.0	536
SDR42E1	1.0	537
KCNH8	1.0	538
IHO1	1.0	539
ZNF662	1.0	540
NCR1	1.0	541
OSR1	1.0	542
RYR3	1.0	543
NUDT16P1	1.0	544
SRARP	1.0	545
AC147651.1	1.0	546
EDN3	1.0	547
DYNLRB2	1.0	548
AC005077.4	1.0	549
GRIK3	1.0	550
OAZ1P1	1.0	551
PDZK1IP1	1.0	552
TTC22	1.0	553
GSTM2	1.0	554
CHI3L2	1.0	555
HNRNPA1P21	1.0	556
PDZK1	1.0	557
BNIPL	1.0	558
KLHDC9	1.0	559
DACH1	1.0	560
FP885919.1	1.0	561
KCNK1	1.0	562
LINC02132	1.0	563
TRMT9B	1.0	564
IL34	1.0	565
TSPYL5	1.0	566
RGR	1.0	567
AC020907.1	1.0	568
AP001783.1	1.0	569
ZNF572	1.0	570
AC093300.1	1.0	571
SERPINA5	1.0	572
SAMD15	1.0	573
MKRN3	1.0	574
SCRG1	1.0	575
AC124248.1	1.0	576
AC006133.1	1.0	577
OLFM1	1.0	578
AC008805.1	1.0	579
COX7A1	1.0	580
C19orf33	1.0	581
CYP2T1P	1.0	582
FAM172BP	1.0	583
TRAV39	1.0	584
IL21-AS1	1.0	585
AC010643.1	1.0	586
TNNT1	1.0	587
STAC2	1.0	588
LINC01819	1.0	589
CASP4LP	1.0	590
ZNF391	1.0	591
DDX43	1.0	592
OOEP	1.0	593
CD69	1.0	594
PNLDC1	1.0	595
SCNN1A	1.0	596
NEK2	1.0	597
FERMT1	1.0	598
MIR4539	1.0	599
KCNMB1	1.0	600
GAS1RR	1.0	601
WDR86-AS1	1.0	602
GPR55	1.0	603
C2orf74	1.0	604
DQX1	1.0	605
AL136366.1	1.0	606
NT5DC4	1.0	607
OR4B1	1.0	608
RUNX1T1	1.0	609
ABCA6	1.0	610
MME	1.0	611
FAM198B-AS1	1.0	612
RN7SL28P	1.0	613
KRTAP9-4	1.0	614
LDHC	1.0	615
AC091043.1	1.0	616
AF001548.3	1.0	617
TNMD	1.0	618
LIPE	1.0	619
ASPA	1.0	620
KCNIP2	1.0	621
CD36	1.0	622
RDH5	1.0	623
ALDH1L1	1.0	624
GLYAT	1.0	625
PLIN1	1.0	626
GPD1	1.0	627
PLIN4	1.0	628
MRAP	1.0	629
FABP4	1.0	630
LEP	1.0	631
CIDEA	1.0	632
C14orf180	1.0	633
TRARG1	1.0	634
CIDEC	1.0	635
ADH1B	1.0	636
GPX3	1.0	637
LINC01697	1.0	638
GDF10	1.0	639
FXYD1	1.0	640
TNFRSF13C	1.0	641
CXorf66	1.0	642
GLB1L2	1.0	643
PLCB4	1.0	644
PARD6B	1.0	645
STOX2	1.0	646
AKR1E2	1.0	647
CALML5	1.0	648
MEOX1	1.0	649
SCN4A	1.0	650
PYGM	1.0	651
MEOX2	1.0	652
AVPR2	1.0	653
USHBP1	1.0	654
TSPAN7	1.0	655
TAL1	1.0	656
FAM110D	1.0	657
CADM3-AS1	1.0	658
AL109741.1	1.0	659
INMT	1.0	660
BX322639.1	1.0	661
LINC00857	1.0	662
C10orf82	1.0	663
AC016825.1	1.0	664
PTPN22	1.0	665
JAKMIP3	1.0	666
LRFN5	1.0	667
PTGDS	1.0	668
LINC02328	1.0	669
CLCA4	1.0	670
SMYD1	1.0	671
PLCZ1	1.0	672
RNF186	1.0	673
OXTR	1.0	674
LINC02660	1.0	675
AL353693.1	1.0	676
AC104237.3	1.0	677
AC084759.3	1.0	678
ALDOC	1.0	679
CNN1	1.0	680
HOXB2	1.0	681
TCAM1P	1.0	682
PPP2R2B	1.0	683
CMTM5	1.0	684
ETV3L	1.0	685
AQP7P2	1.0	686
NGF-AS1	1.0	687
GBP1P1	1.0	688
KLRG1	1.0	689
SHC4	1.0	690
ZNF300P1	1.0	691
PRM1	1.0	692
CT83	1.0	693
PARP4P1	1.0	694
LINC00392	1.0	695
LMX1B	1.0	696
PDCD1LG2	1.0	697
AC010451.3	1.0	698
LRRC3B	1.0	699
KDM5D	1.0	700
ZFY	1.0	701
TXLNGY	1.0	702
TTTY14	1.0	703
UTY	1.0	704
EIF1AY	1.0	705
GYG2P1	1.0	706
AC006157.1	1.0	707
SPESP1	1.0	708
TDRD12	1.0	709
AC025423.3	1.0	710
PAX8	1.0	711
PAX8-AS1	1.0	712
TNRC18P1	1.0	713
LINC00278	1.0	714
AC010889.1	1.0	715
