RNA	Complexity Score	Complexity Rank
TNMD	2.9234761946222316	1
LIPE	2.9234761946222316	2
ASPA	2.9234761946222316	3
KCNIP2	2.9234761946222316	4
CD36	2.9234761946222316	5
RDH5	2.9234761946222316	6
ALDH1L1	2.9234761946222316	7
GLYAT	2.9234761946222316	8
PLIN1	2.9234761946222316	9
GPD1	2.9234761946222316	10
PLIN4	2.9234761946222316	11
MRAP	2.9234761946222316	12
FABP4	2.9234761946222316	13
LEP	2.9234761946222316	14
CIDEA	2.9234761946222316	15
C14orf180	2.9234761946222316	16
TRARG1	2.9234761946222316	17
CIDEC	2.9234761946222316	18
ADH1B	2.9234761946222316	19
GPX3	2.9234761946222316	20
LINC01697	2.9234761946222316	21
GDF10	2.9234761946222316	22
FXYD1	2.9234761946222316	23
MEOX1	2.8532020749451443	24
SCN4A	2.8532020749451443	25
PYGM	2.8532020749451443	26
MEOX2	2.8532020749451443	27
AVPR2	2.8532020749451443	28
USHBP1	2.8532020749451443	29
TSPAN7	2.8532020749451443	30
TAL1	2.8532020749451443	31
FAM110D	2.8532020749451443	32
CADM3-AS1	2.8532020749451443	33
AL109741.1	2.8532020749451443	34
INMT	2.8532020749451443	35
CLCA4	2.8256238902168764	36
SMYD1	2.8256238902168764	37
PLCZ1	2.8256238902168764	38
RNF186	2.8256238902168764	39
OXTR	2.8256238902168764	40
LINC02660	2.8256238902168764	41
AL353693.1	2.8256238902168764	42
AC104237.3	2.8256238902168764	43
AC084759.3	2.8256238902168764	44
FAM172BP	2.8250923172880573	45
TRAV39	2.8250923172880573	46
IL21-AS1	2.8250923172880573	47
LINC02132	2.809889666757269	48
KDM5D	2.8096965929667186	49
ZFY	2.8096965929667186	50
TXLNGY	2.8096965929667186	51
TTTY14	2.8096965929667186	52
UTY	2.8096965929667186	53
EIF1AY	2.8096965929667186	54
GYG2P1	2.8096965929667186	55
AC006157.1	2.8096965929667186	56
LINC00278	2.8096965929667186	57
AC010889.1	2.8096965929667186	58
RUNX1T1	2.8040027850616904	59
ABCA6	2.8040027850616904	60
MME	2.8040027850616904	61
PTPN22	2.7924519966070953	62
NEK2	2.7921258154888458	63
ZNF300P1	2.789635958438394	64
AQP7P2	2.7895945867115404	65
NGF-AS1	2.7895945867115404	66
AF001548.3	2.787711491789003	67
CMTM5	2.786977363950383	68
ETV3L	2.786977363950383	69
RGR	2.786920139768395	70
AC020907.1	2.786920139768395	71
AP001783.1	2.786920139768395	72
CD69	2.7865089807242063	73
KLRG1	2.7860766442736256	74
GIPC2	2.786006816195594	75
EDN3	2.785098693143519	76
SHC4	2.7850302036546233	77
MIR4539	2.7846901303150666	78
AC093300.1	2.784578476916412	79
HNRNPA1P21	2.7830014115082795	80
WDR86-AS1	2.7823614568248427	81
IHO1	2.7823040499796696	82
KCNMB1	2.7818984180914597	83
GAS1RR	2.7818984180914597	84
STAC2	2.781547465604417	85
LINC01819	2.781547465604417	86
CNN1	2.7813692204041467	87
LRRC3B	2.781298139871517	88
DYNLRB2	2.7810675935775944	89
AC005077.4	2.7810675935775944	90
DACH1	2.7806238487470103	91
OSR1	2.7800509627593444	92
RYR3	2.7800509627593444	93
AL136366.1	2.7793044986653186	94
PTGDS	2.7792340252476775	95
LINC02328	2.7792340252476775	96
CR1	2.7789773567104823	97
C9orf116	2.7789054844916388	98
NCR1	2.7788562164347748	99
SAMD15	2.7788262826720036	100
CLDN11	2.778746499784833	101
SCRG1	2.778387136048024	102
SHISA9	2.7779845308663424	103
U91319.1	2.7779845308663424	104
AC008805.1	2.7779845308663424	105
DDX43	2.7779845308663424	106
OOEP	2.7779845308663424	107
C10orf82	2.7779845308663424	108
AC016825.1	2.7779845308663424	109
TDRD12	2.7779845308663424	110
PAX8	2.7779845308663424	111
PAX8-AS1	2.7779845308663424	112
IL34	2.7766737743497587	113
OR2S1P	2.77647834884665	114
FERMT1	2.7761558672917697	115
TNFRSF13C	2.7759171793998263	116
LMX1B	2.775559580946308	117
CASP4LP	2.7754358971883106	118
LRFN5	2.7753785778215234	119
PPP2R2B	2.7750826507172066	120
GBP1P1	2.7749120606305153	121
STOX2	2.7746791765795247	122
PDCD1LG2	2.77447795899044	123
VIM-AS1	2.7744211150433786	124
AC091043.1	2.7743394913817596	125
FP885919.1	2.774281748238795	126
GPR55	2.7742090707983302	127
KCNH8	2.77413961354457	128
PRSS21	2.7741203401870633	129
MT1L	2.7741203401870633	130
SDR42E1	2.7741203401870633	131
ZNF662	2.7741203401870633	132
NUDT16P1	2.7741203401870633	133
SRARP	2.7741203401870633	134
AC147651.1	2.7741203401870633	135
GRIK3	2.7741203401870633	136
OAZ1P1	2.7741203401870633	137
PDZK1IP1	2.7741203401870633	138
TTC22	2.7741203401870633	139
GSTM2	2.7741203401870633	140
CHI3L2	2.7741203401870633	141
PDZK1	2.7741203401870633	142
BNIPL	2.7741203401870633	143
KLHDC9	2.7741203401870633	144
KCNK1	2.7741203401870633	145
TRMT9B	2.7741203401870633	146
TSPYL5	2.7741203401870633	147
ZNF572	2.7741203401870633	148
SERPINA5	2.7741203401870633	149
MKRN3	2.7741203401870633	150
AC124248.1	2.7741203401870633	151
AC006133.1	2.7741203401870633	152
OLFM1	2.7741203401870633	153
COX7A1	2.7741203401870633	154
C19orf33	2.7741203401870633	155
CYP2T1P	2.7741203401870633	156
AC010643.1	2.7741203401870633	157
TNNT1	2.7741203401870633	158
ZNF391	2.7741203401870633	159
PNLDC1	2.7741203401870633	160
SCNN1A	2.7741203401870633	161
C2orf74	2.7741203401870633	162
DQX1	2.7741203401870633	163
NT5DC4	2.7741203401870633	164
OR4B1	2.7741203401870633	165
FAM198B-AS1	2.7741203401870633	166
RN7SL28P	2.7741203401870633	167
KRTAP9-4	2.7741203401870633	168
LDHC	2.7741203401870633	169
CXorf66	2.7741203401870633	170
GLB1L2	2.7741203401870633	171
PLCB4	2.7741203401870633	172
PARD6B	2.7741203401870633	173
AKR1E2	2.7741203401870633	174
CALML5	2.7741203401870633	175
BX322639.1	2.7741203401870633	176
LINC00857	2.7741203401870633	177
JAKMIP3	2.7741203401870633	178
ALDOC	2.7741203401870633	179
HOXB2	2.7741203401870633	180
TCAM1P	2.7741203401870633	181
PRM1	2.7741203401870633	182
CT83	2.7741203401870633	183
PARP4P1	2.7741203401870633	184
LINC00392	2.7741203401870633	185
AC010451.3	2.7741203401870633	186
SPESP1	2.7741203401870633	187
AC025423.3	2.7741203401870633	188
TNRC18P1	2.7741203401870633	189
GPR146	1.445601741065626	190
AQP7	1.445601741065626	191
BTNL9	1.445601741065626	192
CCDC178	1.445601741065626	193
GPIHBP1	1.445601741065626	194
PGM5P3-AS1	1.445601741065626	195
ABCA10	1.4281312325596935	196
FREM1	1.4271717428519874	197
LVRN	1.426177040730574	198
TRHDE-AS1	1.426177040730574	199
CHRDL1	1.4257796232328286	200
CRHBP	1.412054006375881	201
TRBV30	1.4102632715062233	202
AP003774.2	1.4093591823808647	203
AC068057.1	1.4047802129106908	204
AC044810.2	1.4047802129106908	205
PNMA8C	1.4047802129106908	206
SLC7A3	1.4041157261653148	207
AL160412.1	1.4041157261653148	208
RNASE7	1.4008305512798607	209
SVEP1	1.3980443728290157	210
MRGPRF	1.3971234312064587	211
AP003071.4	1.3971234312064587	212
PGM5-AS1	1.3954876521191903	213
MYH11	1.3953903607372808	214
PDE6G	1.3950323799610593	215
CA6	1.3944790853875066	216
SCN2B	1.3942247889119672	217
TNIP3	1.3941193434344525	218
WIF1	1.3936044754555497	219
ABCF2P2	1.3927889872612655	220
AC023136.1	1.3927889872612655	221
AC233702.8	1.3927889872612655	222
LINC02812	1.3927026099764102	223
GNLY	1.3918485155512608	224
ACTA2-AS1	1.3916046781707327	225
AC245884.9	1.3910902726149013	226
MIA-RAB4B	1.3908723034045705	227
HOXA4	1.390245410051644	228
MEF2C-AS1	1.390243184319998	229
