DNA	Degree	Degree Rank	Sign
cg03546360	6.0	1	+
cg03655701	6.0	2	+
cg04245131	6.0	3	+
cg05685023	6.0	4	+
cg04977602	6.0	5	+
cg03676485	6.0	6	+
cg01441777	6.0	7	+
cg07313319	6.0	8	+
cg06991495	6.0	9	+
cg14510301	6.0	10	+
cg04571130	5.0	11	+
cg07298473	5.0	12	+
cg06422039	5.0	13	+
cg00610310	5.0	14	+
cg00066663	5.0	15	+
cg06561886	5.0	16	+
cg06748147	5.0	17	+
cg16989719	5.0	18	+
cg12568776	5.0	19	+
cg26449836	5.0	20	+
cg17772490	5.0	21	+
cg20900312	5.0	22	+
cg06942111	4.0	23	+
cg05352688	4.0	24	+
cg01564818	4.0	25	+
cg04902811	4.0	26	+
cg06784824	4.0	27	+
cg02546477	4.0	28	+
cg03998264	4.0	29	+
cg03839161	4.0	30	+
cg02258482	4.0	31	+
cg04259907	4.0	32	+
cg15840039	4.0	33	+
cg10040836	4.0	34	+
cg15059162	4.0	35	+
cg15483044	4.0	36	+
cg12426141	4.0	37	+
cg24041799	4.0	38	+
cg24590633	4.0	39	+
cg24183909	4.0	40	+
cg22761619	4.0	41	+
cg23784313	4.0	42	+
cg23655651	4.0	43	+
cg24621042	4.0	44	+
cg23212388	4.0	45	+
cg04891053	3.0	46	+
cg06182359	3.0	47	+
cg04019636	3.0	48	+
cg05699921	3.0	49	+
cg05981785	3.0	50	+
cg06489037	3.0	51	+
cg05877402	3.0	52	+
cg01471372	3.0	53	+
cg03852570	3.0	54	+
cg04813834	3.0	55	+
cg06376161	3.0	56	+
cg08320303	3.0	57	+
cg02818170	3.0	58	+
cg09152259	3.0	59	+
cg13068082	3.0	60	+
cg10617287	3.0	61	+
cg16787365	3.0	62	+
cg23449588	3.0	63	+
cg26549552	3.0	64	+
cg18006085	3.0	65	+
cg07175301	2.0	66	+
cg03547355	2.0	67	+
cg02458141	2.0	68	+
cg05335893	2.0	69	+
cg00610692	2.0	70	+
cg01157280	2.0	71	+
cg00119073	2.0	72	+
cg07630327	2.0	73	+
cg03331514	2.0	74	+
cg02126477	2.0	75	+
cg02331303	2.0	76	+
cg03608224	2.0	77	+
cg02621481	2.0	78	+
cg07178968	2.0	79	+
cg06377256	2.0	80	+
cg03264464	2.0	81	+
cg07787614	2.0	82	+
cg01035931	2.0	83	+
cg11694119	2.0	84	+
cg09579323	2.0	85	+
cg09116658	2.0	86	+
cg08536167	2.0	87	+
cg11809702	2.0	88	+
cg14032465	2.0	89	+
cg12020983	2.0	90	+
cg16751781	2.0	91	+
cg08408874	2.0	92	+
cg23731901	2.0	93	+
cg21183846	2.0	94	+
cg22966065	2.0	95	+
cg21976880	2.0	96	+
cg18011946	2.0	97	+
cg17873919	2.0	98	+
cg18126572	2.0	99	+
cg20173428	2.0	100	+
cg24480577	2.0	101	+
cg04692506	1.0	102	+
cg02086349	1.0	103	+
cg06441106	1.0	104	+
cg05721773	1.0	105	+
cg06155620	1.0	106	+
cg06428196	1.0	107	+
cg02592133	1.0	108	+
cg05539265	1.0	109	+
cg02464901	1.0	110	+
cg05499499	1.0	111	+
cg04280772	1.0	112	+
cg03190578	1.0	113	+
cg01870865	1.0	114	+
cg07139503	1.0	115	+
cg02212575	1.0	116	+
cg03387103	1.0	117	+
cg00872683	1.0	118	+
cg06634862	1.0	119	+
cg02512867	1.0	120	+
cg06550986	1.0	121	+
cg04547002	1.0	122	+
cg00177142	1.0	123	+
cg05041265	1.0	124	+
cg06340364	1.0	125	+
cg02389084	1.0	126	+
cg06458904	1.0	127	+
cg02171771	1.0	128	+
cg03995434	1.0	129	+
cg07243147	1.0	130	+
cg00025347	1.0	131	+
cg07414392	1.0	132	+
cg03544499	1.0	133	+
cg06974428	1.0	134	+
cg05855983	1.0	135	+
cg00542261	1.0	136	+
cg01754756	1.0	137	+
cg07052041	1.0	138	+
cg03635073	1.0	139	+
cg01882535	1.0	140	+
cg06252985	1.0	141	+
cg05327192	1.0	142	+
cg05697249	1.0	143	+
cg07807026	1.0	144	+
cg01306688	1.0	145	+
cg01267709	1.0	146	+
cg04158862	1.0	147	+
cg01991934	1.0	148	+
cg03451296	1.0	149	+
cg00067884	1.0	150	+
cg02711212	1.0	151	+
cg04168474	1.0	152	+
cg03228065	1.0	153	+
cg02479497	1.0	154	+
cg07840332	1.0	155	+
cg05341260	1.0	156	+
cg00735611	1.0	157	+
cg07327299	1.0	158	+
cg05505961	1.0	159	+
cg04268643	1.0	160	+
cg04498014	1.0	161	+
cg04178634	1.0	162	+
cg07643267	1.0	163	+
cg04270264	1.0	164	+
cg06099014	1.0	165	+
cg02643667	1.0	166	+
cg00952322	1.0	167	+
cg16013349	1.0	168	+
cg12301620	1.0	169	+
cg09757400	1.0	170	+
cg09209002	1.0	171	+
cg09458940	1.0	172	+
cg12737152	1.0	173	+
cg12451007	1.0	174	+
cg08836861	1.0	175	+
cg10444350	1.0	176	+
cg13556253	1.0	177	+
cg20078972	1.0	178	+
cg23705119	1.0	179	+
cg23543604	1.0	180	+
cg20284025	1.0	181	+
cg21210531	1.0	182	+
cg18623708	1.0	183	+
cg21038780	1.0	184	+
cg24704593	1.0	185	+
cg22877623	1.0	186	+
cg18975638	1.0	187	+
cg17826679	1.0	188	+
cg21562889	1.0	189	+
cg24751886	1.0	190	+
cg02385230	11.0	1	-
cg03190578	9.0	2	-
cg03228065	9.0	3	-
cg20078972	9.0	4	-
cg02212575	8.0	5	-
cg03633268	8.0	6	-
cg02711212	8.0	7	-
cg05327192	7.0	8	-
cg04692506	6.0	9	-
cg16013349	6.0	10	-
cg09757400	6.0	11	-
cg01815912	5.0	12	-
cg12301620	5.0	13	-
cg27515243	5.0	14	-
cg19756097	5.0	15	-
cg02464901	4.0	16	-
cg00992348	4.0	17	-
cg03635073	4.0	18	-
cg00067884	4.0	19	-
cg06099014	4.0	20	-
cg02643667	4.0	21	-
cg05919105	3.0	22	-
cg05041265	3.0	23	-
cg02389084	3.0	24	-
cg06974428	3.0	25	-
cg07080231	3.0	26	-
cg04806409	3.0	27	-
cg12793502	3.0	28	-
cg11285937	3.0	29	-
cg23093590	3.0	30	-
cg25338818	3.0	31	-
cg01962821	2.0	32	-
cg03055271	2.0	33	-
cg02104952	2.0	34	-
cg06827850	2.0	35	-
cg06428196	2.0	36	-
cg05499499	2.0	37	-
cg04280772	2.0	38	-
cg05855983	2.0	39	-
cg08836861	2.0	40	-
cg24546153	2.0	41	-
cg23280778	2.0	42	-
cg22442557	2.0	43	-
cg22512377	2.0	44	-
cg03387103	1.0	45	-
cg02512867	1.0	46	-
cg04547002	1.0	47	-
cg05089968	1.0	48	-
cg03995434	1.0	49	-
cg00542261	1.0	50	-
cg01099300	1.0	51	-
cg02477603	1.0	52	-
cg02568716	1.0	53	-
cg03998598	1.0	54	-
cg00673191	1.0	55	-
cg11987090	1.0	56	-
cg16516270	1.0	57	-
cg12535596	1.0	58	-
cg12048310	1.0	59	-
cg17678946	1.0	60	-
cg17077776	1.0	61	-
cg09859794	1.0	62	-
cg11938491	1.0	63	-
cg12094965	1.0	64	-
cg16773127	1.0	65	-
cg15043801	1.0	66	-
cg11176186	1.0	67	-
cg18174678	1.0	68	-
cg18263686	1.0	69	-
cg18623708	1.0	70	-
cg19321739	1.0	71	-
