RNA	Complexity Score	Complexity Rank
GZMK	0.08333333333325438	1
CD96	0.08333333333325438	2
EOMES	0.08333333333325438	3
GPR171	0.08333333333325438	4
TRBV19	0.08333333333325438	5
TRAV8-3	0.08333333333325438	6
TRAV12-3	0.08333333333325438	7
TRBV2	0.08333333333325438	8
TRBV3-1	0.08333333333325438	9
LINC00861	0.08333333333325438	10
TRBV18	0.08333333333325438	11
TRBV7-9	0.08333333333325438	12
PLA2G2D	6.138915433765374e-14	13
GFI1	6.138915433765374e-14	14
TCL1A	4.521447268723534e-14	15
TRAT1	4.521447268723534e-14	16
CD19	4.521447268723534e-14	17
NCR3	4.521447268723534e-14	18
LINC00426	4.521447268723534e-14	19
LINC01215	4.521447268723534e-14	20
GZMA	4.2108073085613714e-14	21
CD3G	4.2108073085613714e-14	22
PDCD1	4.2108073085613714e-14	23
ITK	4.134357509890792e-14	24
TRBV5-1	4.134357509890792e-14	25
FCRL3	2.002459096584276e-14	26
TRBC1	2.002459096584276e-14	27
CTLA4	1.839739771505595e-14	28
CCL5	1.839739771505595e-14	29
TRBC2	1.8397259801624205e-14	30
ICOS	1.6730956095612715e-14	31
LTA	1.673093311907357e-14	32
POLR2F	1.017525263861201e-14	33
ROPN1B	1.017525263861201e-14	34
ROCR	1.017525263861201e-14	35
LINC02188	1.017525263861201e-14	36
UBASH3A	7.295647895147294e-15	37
ZAP70	7.057374268591456e-15	38
TRBV20-1	6.7775540216951516e-15	39
ICAM3	5.6895242649168724e-15	40
TIGIT	5.387653632253629e-15	41
CXCR3	5.2174929529527685e-15	42
CD2	5.017793381621063e-15	43
TRBV28	4.8808592430640244e-15	44
CD3D	4.501729849078639e-15	45
PAX8	4.18513085890338e-15	46
PAX8-AS1	4.18513085890338e-15	47
LINC00278	4.18513085890338e-15	48
AC010889.1	4.18513085890338e-15	49
CD3E	4.021481022756907e-15	50
LINC02258	3.964651069108766e-15	51
AC129908.1	3.964651069108766e-15	52
MLPH	3.885063371236172e-15	53
PRR15	3.885063371236172e-15	54
SH2D1A	3.5743248182818846e-15	55
LY9	3.570643463216148e-15	56
CCR7	3.3906690211923693e-15	57
CD247	3.3348103110247025e-15	58
PYHIN1	3.0340932101964135e-15	59
SLAMF1	2.9335903001384332e-15	60
ZNF831	2.893082406500457e-15	61
CD6	2.827063473116318e-15	62
TBX21	2.79899257439733e-15	63
C16orf54	2.6222507997365996e-15	64
CD5	2.5903646091990266e-15	65
SLA2	2.4750045812917906e-15	66
SLAMF6	2.4666125263048773e-15	67
SIT1	2.4508707085601184e-15	68
CD27	2.342734972418438e-15	69
TIFAB	2.2302447248737796e-15	70
BTLA	2.2238637908685835e-15	71
STAC	2.1670903663263077e-15	72
PRF1	2.115975894683578e-15	73
DNALI1	1.973811813174571e-15	74
FOXCUT	1.973811813174571e-15	75
SPESP1	1.973811813174571e-15	76
LINC01945	1.973811813174571e-15	77
TDRD12	1.973811813174571e-15	78
AC025423.3	1.973811813174571e-15	79
TNRC18P1	1.973811813174571e-15	80
ESR1	1.973811813174571e-15	81
AC243960.1	1.858809795570007e-15	82
IL2RG	1.8120308425620796e-15	83
SP140	1.7394272750552832e-15	84
CYCSP30	1.626656195921702e-15	85
SNX20	1.4277807315187187e-15	86
IL12RB1	1.415051248022762e-15	87
SRSF12	1.3530075918037152e-15	88
ROPN1	1.3419754704319404e-15	89
RGMA	1.3188739916898672e-15	90
FOXC1	1.2644878907177604e-15	91
SIRPG	1.2522777769006183e-15	92
FOXA1	1.2330761925825168e-15	93
PTPN7	9.891367360633474e-16	94
