DNA	Fitness Score	Fitness Rank	Sign
cg14534336	('CG_of_ESR1_regulated',)	0.5114144295925588	1	+
cg17391830	('CG_of_ESR1_regulated',)	0.48858551858458693	2	+
cg22761619	('CG_of_ESR1_regulated',)	3.56559054668415e-08	3	+
cg10216820	('CG_of_ESR1_regulated',)	2.6285150997661197e-09	4	+
cg20631750	('CG_of_ESR1_regulated',)	2.37109928599361e-09	5	+
cg05539265	('CG_of_ESR1_regulated',)	2.1190631278943232e-09	6	+
cg03451296	('CG_of_ESR1_regulated',)	1.4477271470834148e-09	7	+
cg20284025	('CG_of_ESR1_regulated',)	1.4477271470834148e-09	8	+
cg18263686	('CG_of_ESR1_regulated',)	1.4477271470834148e-09	9	+
cg24282422	('CG_of_ESR1_regulated',)	1.4477271470834148e-09	10	+
cg25203351	('CG_of_ESR1_regulated',)	1.4477271470834148e-09	11	+
cg12020983	('CG_of_ESR1_regulated',)	1.1268155996592703e-09	12	+
cg08686995	('CG_of_ESR1_regulated',)	6.78762546000696e-10	13	+
cg11694119	('CG_of_ESR1_regulated',)	7.971387860590965e-13	14	+
cg13996453	('CG_of_ESR1_regulated',)	6.153693569835638e-13	15	+
cg23784313	('CG_of_ESR1_regulated',)	4.734279944292683e-13	16	+
cg25680916	('CG_of_ESR1_regulated',)	4.733092840294947e-13	17	+
cg24183909	('CG_of_ESR1_regulated',)	4.577485749697386e-13	18	+
cg20795117	('CG_of_ESR1_regulated',)	4.56578807594181e-13	19	+
cg11692369	('CG_of_ESR1_regulated',)	3.39492797769673e-13	20	+
cg18006085	('CG_of_ESR1_regulated',)	1.808400329146682e-13	21	+
cg01815912	('CG_of_ESR1_regulated',)	6.479542996731782e-14	22	+
cg02385230	('CG_of_ESR1_regulated',)	6.479542996731782e-14	23	+
cg04920032	('CG_of_ESR1_regulated',)	4.158072358489349e-14	24	+
cg02477603	('CG_of_ESR1_regulated',)	2.321470944931258e-14	25	+
cg07080231	('CG_of_ESR1_regulated',)	2.3214706382424335e-14	26	+
cg22215258	('CG_of_ESR1_regulated',)	8.610934175797884e-15	27	+
cg17541142	('CG_of_ESR1_regulated',)	7.507409152857384e-15	28	+
cg13581928	('CG_of_ESR1_regulated',)	7.439978671912655e-15	29	+
cg03228065	('CG_of_ESR1_regulated',)	3.366160234234971e-15	30	+
cg20078972	('CG_of_ESR1_regulator',)	3.366160234234971e-15	31	+
cg18975638	('CG_of_ESR1_regulated',)	1.5289898642443524e-15	32	+
cg04883026	('CG_of_ESR1_regulated',)	1.5066127056466815e-15	33	+
cg01598144	('CG_of_ESR1_regulated',)	1.5040883433206396e-15	34	+
cg00146027	('CG_of_ESR1_regulated',)	1.5020655202420365e-15	35	+
cg09579323	('CG_of_ESR1_regulated',)	1.3352427990415554e-15	36	+
cg18126572	('CG_of_ESR1_regulated',)	1.3271935481953112e-15	37	+
cg24631360	('CG_of_ESR1_regulated',)	1.301574059526607e-15	38	+
cg26728709	('CG_of_ESR1_regulated',)	1.272712855340248e-15	39	+
cg23312397	('CG_of_ESR1_regulated',)	2.626321969157951e-16	40	+
cg05132828	('CG_of_ESR1_regulated',)	2.465200615524045e-16	41	+
cg06634862	('CG_of_ESR1_regulated',)	2.407863319802478e-16	42	+
cg25296982	('CG_of_ESR1_regulated',)	2.3188366218579854e-16	43	+
cg00520933	('CG_of_ESR1_regulated',)	2.3073307234953143e-16	44	+
cg26362488	('CG_of_ESR1_regulated',)	2.3009542081721234e-16	45	+
cg25979244	('CG_of_ESR1_regulated',)	2.178128050293563e-16	46	+
cg13249789	('CG_of_ESR1_regulated',)	2.0537210275276512e-16	47	+
cg09116658	('CG_of_ESR1_regulated',)	2.0427320906024559e-16	48	+
cg26804128	('CG_of_ESR1_regulated',)	1.9203449259533943e-16	49	+
cg25316898	('CG_of_ESR1_regulated',)	1.7061153186472688e-16	50	+
cg16550282	('CG_of_ESR1_regulated',)	1.615830946427372e-16	51	+
