RNA	Complexity Score	Complexity Rank	Sign
PR	('RNA_ESR1_regulator',)	0.17008821936635932	1	+
CAPN8	('RNA_ESR1_regulated',)	0.17008821936635932	2	+
LONRF2	('RNA_ESR1_regulated',)	0.17008821936635932	3	+
FOXM1	('RNA_ESR1_regulator',)	0.16324510561976746	4	+
BIRC5	('RNA_ESR1_regulated',)	0.16324510561976746	5	+
NUF2	('RNA_ESR1_regulated',)	0.16324510561976746	6	+
TFF1	('RNA_ESR1_regulated',)	1.71980779265708e-08	7	+
FAM13C	('RNA_ESR1_regulated',)	1.277598393395982e-09	8	+
ZG16B	('RNA_ESR1_regulated',)	1.1524805922040685e-09	9	+
MGAM2	('RNA_ESR1_regulated',)	1.029977590137497e-09	10	+
APOA4	('RNA_ESR1_regulated',)	7.036725326873027e-10	11	+
CBFA2T3	('RNA_ESR1_regulated',)	7.036725326873027e-10	12	+
INAVA	('RNA_ESR1_regulated',)	7.036725326873027e-10	13	+
TP63	('RNA_ESR1_regulated',)	7.036725326873027e-10	14	+
DTNA	('RNA_ESR1_regulated',)	7.036725326873027e-10	15	+
BCAS1	('RNA_ESR1_regulated',)	5.348312247817388e-10	16	+
KIF2C	('RNA_ESR1_regulated',)	3.2991476341327406e-10	17	+
TSPAN1	('RNA_ESR1_regulated',)	1.3337281790003865e-13	18	+
DACH1	('RNA_ESR1_regulated',)	9.658471456452431e-14	19	+
SCUBE2	('RNA_ESR1_regulated',)	7.768908083274825e-14	20	+
SRARP	('RNA_ESR1_regulated',)	5.055242746253608e-14	21	+
SLC26A9	('RNA_ESR1_regulated',)	1.0506470226637312e-14	22	+
TAFA3	('RNA_ESR1_regulated',)	4.942447773374444e-15	23	+
MYB	('RNA_ESR1_regulated',)	1.5582033852398651e-15	24	+
POU5F1	('RNA_ESR1_regulated',)	8.1676083304458355e-16	25	+
KCNIP2	('RNA_ESR1_regulated',)	2.216885511011776e-16	26	+
DYNLRB2	('RNA_ESR1_regulated',)	2.024119344490473e-16	27	+
ITGA7	('RNA_ESR1_regulated',)	3.316924084542578e-17	28	+
FSIP1	('RNA_ESR1_regulated',)	2.3962202929841143e-17	29	+
CT62	('RNA_ESR1_regulated',)	1.587734554491155e-17	30	+
TFF3	('RNA_ESR1_regulated',)	8.298234682645992e-18	31	+
THSD4	('RNA_ESR1_regulated',)	4.3072274139082785e-18	32	+
CA12	('RNA_ESR1_regulated',)	3.511888640454362e-18	33	+
HSPB7	('RNA_ESR1_regulated',)	1.3421695787088947e-18	34	+
AGR3	('RNA_ESR1_regulated',)	1.0475497691704792e-18	35	+
C5AR2	('RNA_ESR1_regulated',)	9.901095288709533e-19	36	+
FLRT2	('RNA_ESR1_regulated',)	8.246032331799515e-19	37	+
B3GALT1	('RNA_ESR1_regulated',)	7.48583751416048e-19	38	+
SVEP1	('RNA_ESR1_regulated',)	4.575739213112326e-19	39	+
PTH1R	('RNA_ESR1_regulated',)	2.9753840278384777e-19	40	+
AR	('RNA_ESR1_regulator',)	2.1328639899024048e-19	41	+
CCL17	('RNA_ESR1_regulated',)	2.1271428361446159e-19	42	+
TTC6	('RNA_ESR1_regulated',)	9.631681379025293e-20	43	+
PPARG	('RNA_ESR1_regulator',)	9.199399766119153e-20	44	+
IGF1	('RNA_ESR1_regulated',)	6.313743648866027e-20	45	+
SLC12A3	('RNA_ESR1_regulated',)	2.2545971668385246e-20	46	+
ESR1	('RNA_ESR1',)	1.391686725552513e-20	47	+
MLPH	('RNA_ESR1_regulated',)	2.036773296471996e-21	48	+
ARRDC5	('RNA_ESR1_regulated',)	1.2768467030149262e-21	49	+
FOXA1	('RNA_ESR1_regulated',)	5.838142178386423e-22	50	+
PRR15	('RNA_ESR1_regulated',)	3.0810022375722735e-22	51	+
CXCL9	('RNA_ESR1_regulated',)	9.713670449241403e-23	52	+
ID4	('RNA_ESR1_regulated',)	7.559873666489666e-23	53	+
PPP2R2B	('RNA_ESR1_regulated',)	7.315663885442954e-23	54	+
BBOX1	('RNA_ESR1_regulated',)	6.364808007423471e-23	55	+
GZMM	('RNA_ESR1_regulated',)	5.800095234446893e-23	56	+
ICOS	('RNA_ESR1_regulated',)	3.828689518241512e-23	57	+
CCR7	('RNA_ESR1_regulated',)	2.6639342661810035e-23	58	+
IRF4	('RNA_ESR1_regulator',)	9.366364076134821e-24	59	+
BANK1	('RNA_ESR1_regulated',)	8.683028786264841e-24	60	+
SIT1	('RNA_ESR1_regulated',)	7.336107603657488e-24	61	+
MID1	('RNA_ESR1_regulated',)	3.1660752615010107e-24	62	+
PPARG	('RNA_ESR1_regulator',)	0.23128326927807327	1	-
HSPB7	('RNA_ESR1_regulated',)	0.23128326927807327	2	-
KCNIP2	('RNA_ESR1_regulated',)	0.23128326927807327	3	-
ITGA7	('RNA_ESR1_regulated',)	0.23128326927807327	4	-
CAPN8	('RNA_ESR1_regulated',)	0.024933367384666606	5	-
SYTL5	('RNA_ESR1_regulated',)	0.024933367384666606	6	-
UBXN10	('RNA_ESR1_regulated',)	0.024933367384666606	7	-
FAM13C	('RNA_ESR1_regulated',)	2.1408513514485775e-05	8	-
IGF1	('RNA_ESR1_regulated',)	2.1408513514485775e-05	9	-
SCNN1A	('RNA_ESR1_regulated',)	1.0804521747664567e-05	10	-
SERPINA11	('RNA_ESR1_regulated',)	1.0799851598254779e-05	11	-
FHOD3	('RNA_ESR1_regulated',)	1.2323806121562795e-06	12	-
