cg24107988	cg02829783	1.0
cg24107988	cg04306050	1.0
cg24107988	cg04477203	1.0
cg24107988	cg04663790	1.0
cg24107988	cg05428298	1.0
cg24107988	cg07075840	2.0
cg24107988	cg09219721	1.0
cg24107988	cg10089145	1.0
cg24107988	cg10547729	1.0
cg24107988	cg10599693	1.0
cg24107988	cg12658982	2.0
cg24107988	cg13770088	1.0
cg24107988	cg15195538	1.0
cg24107988	cg17635953	1.0
cg24107988	cg19982129	1.0
cg24107988	cg21595503	1.0
cg11500391	cg01369406	1.0
cg11500391	cg01580613	1.0
cg11500391	cg03221247	1.0
cg11500391	cg06952752	1.0
cg17635953	cg03062564	1.0
cg17635953	cg07882171	1.0
cg05428298	cg03062564	1.0
cg20961591	cg00146096	1.0
cg20961591	cg00455450	1.0
cg20961591	cg01971269	1.0
cg20961591	cg02300906	1.0
cg20961591	cg05869119	1.0
cg20961591	cg06387204	1.0
cg20961591	cg07158434	1.0
cg20961591	cg07789559	1.0
cg20961591	cg07882171	1.0
cg20961591	cg08180285	1.0
cg20961591	cg11500391	1.0
cg20961591	cg13249593	1.0
cg20961591	cg15075267	1.0
cg20961591	cg15348640	1.0
cg20961591	cg17075538	1.0
cg20961591	cg17553885	1.0
cg20961591	cg18904891	1.0
cg20961591	cg20819191	1.0
cg27424226	cg01369406	1.0
cg27424226	cg01580613	1.0
cg27424226	cg03221247	1.0
cg27424226	cg14902356	1.0
cg27424226	cg19634213	1.0
cg27424226	cg19982129	1.0
cg27424226	cg20961591	1.0
cg27424226	cg27084903	1.0
cg21029769	cg09219721	1.0
cg24308654	cg04663790	1.0
cg24308654	cg08845439	1.0
cg24308654	cg08857039	2.0
cg24308654	cg09007161	1.0
cg24308654	cg10154122	2.0
cg24308654	cg10599693	2.0
cg24308654	cg15195538	1.0
cg24308654	cg19513868	1.0
cg24308654	cg23561934	2.0
cg00332212	cg00146096	1.0
cg03062564	cg02829783	1.0
cg08845439	cg02665570	1.0
cg05869119	cg01369406	1.0
cg05869119	cg01580613	1.0
cg05869119	cg03221247	1.0
cg14902356	cg00146096	1.0
cg14902356	cg00455450	1.0
cg14902356	cg01971269	1.0
cg14902356	cg02300906	1.0
cg14902356	cg05869119	1.0
cg14902356	cg06387204	1.0
cg14902356	cg07789559	1.0
cg14902356	cg07882171	1.0
cg14902356	cg10154122	1.0
cg14902356	cg10599693	1.0
cg14902356	cg11500391	1.0
cg14902356	cg13249593	1.0
cg11941546	cg09007161	1.0
cg11941546	cg09219721	1.0
cg11941546	cg10089145	2.0
cg11941546	cg10547729	1.0
cg11941546	cg10599693	2.0
cg24638203	cg09007161	1.0
cg24638203	cg09219721	1.0
cg24638203	cg10547729	1.0
cg24638203	cg11081186	1.0
cg24638203	cg16493531	1.0
cg24638203	cg19982129	1.0
cg24638203	cg24107988	1.0
cg03221247	cg00146096	1.0
cg03221247	cg00455450	1.0
cg03221247	cg01971269	1.0
